rom	md5	crc	v14
Bible Buffet (USA) (v6.0) (Unl).nes	24e3127778a8974e61b8d632fa581018	DBBD1DE9	02606fbd6f2867a4b3195cadbb8c8b2d
Big Nose and the Witchdoctor (USA) (Beta) (Unl).nes	b740f08410dc592064cddc15df803fd8	DB969D7D	357f0ed5b3bf45741a8edcaa884358a8
Big Nose Freaks Out (USA) (Unl).nes	e422c8261a1c8f4f23628d2379a52f61	AD16F6C7	3c84e8f6346d9f688b326460806af489
Big Nose the Caveman (USA) (Unl).nes	2075e182698bee9b0d056d213da82040	DCDF053F	9b6969afca63121a131db93dd0df68cc
Bigfoot (USA).nes	1e9d4b97aabfa3f1cac6ff2552b65f6b	A99D45A4	000e97f27adeea7660029b47025ba10c
Bikkuri Nekketsu Shin Kiroku! - Harukanaru Kin Medal (Japan).nes	33779c5d7860d5d5a226d28559720651	640AC636	5f915721577214a9a04f29f7b30c544f
Bill & Ted's Excellent Video Game Adventure (USA).nes	da08be490986171221e4e27559b07dcb	A905CC12	0f70df9e3393536ae237362d09859e34
Bill Elliott's NASCAR Challenge (USA).nes	3640a71f51142f7a97c1990137176f88	A01F2688	85c733cc6daa8e39905caba2c8e39721
Binary Land (Japan).nes	3dea737e2b9c66b18defd67a2f7688d9	7E68ABAB	5e1bd56993eebd3a465164b6b6eec579
Bio Force Ape (Japan) (En) (Proto).nes	bc0a8c283bd8f336acb74569593b5d2a	339D5A6D	48e225b4cafdaac76e04debf5d0068a8
Bio Miracle Bokutte Upa (Japan).nes	3dcc2204e2e593ca1df2008fd7017dfd	E50AD737	21797b38a17dba461776facce49ff995
Bio Senshi Dan - Increaser Tono Tatakai (Japan).nes	e4a79e79934d51be7d55ed9a75a4d52b	5B2D91D0	3c029947f565dac6951e2575ccfad4a5
Bionic Commando (Europe).nes	7620fd0c9123ebf1bd2803bedc0c031f	AB97A16E	83dfd6f1677ae112f98f88ab5a8bd37f
