ROM Checksum	RA Checksum	CRC	Filename
54d5b29bc2f0486ca1408c08638a2045	f53152488b5e0cfc8fcd6077c5bc3036	7D96476A	Jimmy Conners Tennis (1991) [b2].lnx
3fb127de0fcef18b1331c65ed1c3547f	087e6ed018ad0573bd7ce3a91d34f2c9	FDD6536D	Jimmy Conners Tennis (1991).lnx
ab81ae461cf25b92b679fd26be98c902	b48d970db7579d9f16865949e5113ce0	9F7662C2	Joust (1993) (Williams) [o1].lnx
d51e87c94c8361572a3b253a6b26af5a	440462507cf5cffaa8d3d3a66f01ac6a	85A2A177	Joust (1993) (Williams).lnx
30c14e1988e222d01b6fb2b25588810d	2179bb665b2aa3ee4e5467948b55e555	5DD61084	Klax (1990) [b1].lnx
4220be1f2c3effaf934144c542dcae94	f96a0ddcc72c971226e8fdfd95607c88	EC53A878	Klax (1990).lnx
817ea358808b18d58fd2415456ccf728	a5f8268dbf82dbb6744c6c7e1efd067e	D0A29ECD	Krazy Ace Minature Golf (1997) (Telegames) [b1].lnx
bd70ee0996e18cab3ae8e4efa661a5d6	77665f4920f853b67803e4fa79b67c08	CB482C7F	Krazy Ace Minature Golf (1997) (Telegames) [b2].lnx
2d7998cf396719728e806f0d6f11a880	97af4b6d2d40cda59ac2657989267fc2	3C4D4A7E	Krazy Ace Minature Golf (1997) (Telegames) [b3].lnx
151e33b59578b3749fe9ef915f0622ca	7e82db12a5749ab983e2f3c8bf4c0f6e	96C5D9B9	Krazy Ace Minature Golf (1997) (Telegames).lnx
6db4bba289efc0a71965fd1f76b4aa82	1d3a9b6684564fffb312cb7066c32279	AC145F2F	Kung Food (1992) [b1].lnx
c2a6fd3408e574700437b862c62b00d1	e5e42190918847b8c6056e78316ee91d	3529D2D7	Kung Food (1992).lnx
74de329f147ab1f8ac99f49bea04ec50	8a4b3cb3a8cf9595a310854bee274aa6	AE32C303	Lemmings (1993) [b1].lnx
17307c423efa63e9564d0280937080b8	3cae85572df3b43f0220326bf4bb3c8b	A77B6B64	Lemmings (1993).lnx
5d7a5e9019afc5eab008f70e3c0a8618	7ee41edaef283459c9df93366c5da267	E89999BC	Lexis (1999) (Songbird).lnx
90d6f4373a0b5249ad0036712e09ac98	90d6f4373a0b5249ad0036712e09ac98	1CE9B4AD	Lite (Fever) by Bastian Schick (1997) (PD).lnx
5d00c8b40a6559cf20ae19550ad67579	5d00c8b40a6559cf20ae19550ad67579	3469D418	Lode Runner (1996) (Kurt Olsen).lnx
987c9fe3791f8976cebda61a67bd292b	987c9fe3791f8976cebda61a67bd292b	F215C0D4	Logon by Bastian Schick (1996) (PD) [a1].lnx
ae138ded921f36a935b2bff9fb0e563f	ae138ded921f36a935b2bff9fb0e563f	88A0A9C8	Logon by Bastian Schick (1996) (PD).lnx
3f56fd81fca0618df0ed2489b7348426	8399c8fba48ba1a4389a96e75838dc49	93281104	Loopz (Prototype) (1992) (Handmade Software).lnx
317ae79960f250e7763ba53faedf8884	037f030e0b2556c2db20c7d454fa5fc3	BE1ADE2C	Lynx Casino (1992) [b1].lnx
21c96cbff7aafbfce340f7861029ccdf	05d28ab0e92b19147e7f5ea88c6efb6d	5539BAF4	Lynx Casino (1992).lnx
1856ba4e54ab4082b8e2bfc3ef7b6cbf	5d8fdfb15441cdfb8a1c66c243c486da	93ACF1DC	Lynx Diagnostic Cart V0.02 (1989).lnx
9a6c951b0b6329138f8dba469989a08d	9a6c951b0b6329138f8dba469989a08d	BE97D96D	Lynx Lib Test Program by Matthias Domin (1997) (PD).lnx
0629fba06401f7ffbea9f7c9304300f7	65c52e24067086f7a7c563b3c9dc9f4c	9BAB5462	Malibu Bikini Volleyball (1993) [b1].lnx
977d8c607e7ae05b5ccda430014490e7	280344c8b073895ecce286d1b9d87d8b	ABA3E776	Malibu Bikini Volleyball (1993).lnx
afcc19934e16b261b8885cdb7114b7eb	afcc19934e16b261b8885cdb7114b7eb	A6491136	MandelBrot Demo by Bastian Schick (1996) (PD) [a1].lnx
e5be63492443a109a27bdf981ded9acd	e5be63492443a109a27bdf981ded9acd	FB92992D	MandelBrot Demo by Bastian Schick (1996) (PD).lnx
daf8027ccdaf71150aca1f1d91604543	daf8027ccdaf71150aca1f1d91604543	9970273E	Marble Madness by Matthias Domin (1997) (PD).lnx
adb2d4590ee7e91f1e3ac1006ba9a8dc	10db69457be151fa5728fca0113df193	86ACF2B7	Marble Madness by Matthias Domin (1999) (PD).lnx
b8ff19c8a2d0e75d724e7fc033b6abec	b8ff19c8a2d0e75d724e7fc033b6abec	D7740530	Mario Plus Demo (199x) (PD).lnx
4cec94e286778c4b3116ad41d646d2e4	194a3eeb876d2b74cc480f4d337d79b3	8D484E65	Marlboro Go! (Prototype) (1993) (Digital Image).lnx
e839eb5e828e7c4d6dac880591e3398e	e839eb5e828e7c4d6dac880591e3398e	678499A4	Mega Man Plus Demo (199x) (PD).lnx
665b4a3a937ddf36d22bdb2652de52fc	665b4a3a937ddf36d22bdb2652de52fc	21DF9D29	Micro Font Data by Bastian Schick (1999) (PD).lnx
fb08ba457a8d9088afbdbd0e1f95a60d	fb08ba457a8d9088afbdbd0e1f95a60d	7819BE94	Micro Font Dumper by Bastian Schick (199x) (PD).lnx
3962e56b23312c3bea8d4deaeaeaead6	3962e56b23312c3bea8d4deaeaeaead6	CB7E0472	Mines 2 by Bastian Schick (1996) (PD).lnx
1938571ef8fd81d90e35794356b0a2c8	1938571ef8fd81d90e35794356b0a2c8	BFC0B689	Mini Demo 01 by Bastian Schick (1998) (PD).lnx
6e37872bb53cb584c6c7760cb9e6ea7e	6e37872bb53cb584c6c7760cb9e6ea7e	56730FFE	Mini Demo 02 by Bastian Schick (1998) (PD).lnx
f75790f1d300696df6cd91afdbce42d1	f75790f1d300696df6cd91afdbce42d1	2CC11FC7	Mini Demo 03 by Bastian Schick (1998) (PD).lnx
5656ff8ebd5386093aad8126f2d46f42	5656ff8ebd5386093aad8126f2d46f42	B29079DC	Mini Demo 04 by Bastian Schick (1998) (PD).lnx
5da41a69d5d2f67896063f6032ec1968	5da41a69d5d2f67896063f6032ec1968	C9B906BB	Mini Demo 05 by Bastian Schick (1998) (PD).lnx
c7b970a8376e8bf5bd18848b71b9b532	c7b970a8376e8bf5bd18848b71b9b532	EF71C010	Mini Demo 06 by Bastian Schick (1998) (PD).lnx
c5c292f8b9b93bf0f156361962464f49	12484fae576353af6d1d772b760af5da	2EC48DFD	Ms. Pac-Man (1990) [a1].lnx
16d3aa5ecc8dd2b171c26441855d2a50	e5f9f04d1c2dab459c7f76ca1bd19f10	0A54736F	Ms. Pac-Man (1990) [b1].lnx
f67161daf154edc4e9f7c06a76dac9b9	192b6b764a3a1c7831e0a785fa4b5453	A4D77DE9	Ms. Pac-Man (1990).lnx
2015a3199379d90625d19527227cc0e3	59bb44784a806ce2b512c77afa988959	CDF2732F	NFL Football (1990) [b1].lnx
dcb92ab3793c90cd47823d2cf148000e	276b9be28571189912f05d321fcb04ef	C398359E	NFL Football (1990).lnx
1d76f8aabbaed17354aad95277e0c67d	bb379085950dd655d03b18d9490942fb	5CDD4A0C	Ninja Gaiden (1990) [b1].lnx
b65bf4c8c318b4e41c3ea8fb599de275	7ec4063eb6c7c74600d6a16fb3a3bdbd	5ADF25F0	Ninja Gaiden (1990).lnx
e8420519d98ce3cdb110f479b66029a0	bc94f742b186e4f0fbd406f5b7d46163	23275880	Ninja Gaiden III - The Ancient Ship of Doom (1993) [b1].lnx
